Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
La Ferme du Mont,2015,1442442,Côtes Capelan Châteauneuf-du-Pape 2015,4.2,89,61.6075199569969,France,Châteauneuf-du-Pape
Frescobaldi,2016,2574273,Gorgona 2016,4.3,33,193.72336303758235,Italy,Toscana
Quintodecimo,2018,1611385,Via del Campo Falanghina 2018,4.2,280,38.74467260751646,Italy,Irpinia
Librandi,2017,1199664,Cirò Classico Rosso (Segno) 2017,3.4,464,5.602270228384138,Italy,Cirò
Bartolo Mascarello,2003,77339,Barolo 2003,4.4,91,335.7697100432474,Italy,Barolo
Conceito,2016,1175183,Branco 2016,4.1,125,29.21557745269485,Portugal,Douro
Le Macchiole,2017,16416,Paleo Bianco 2017,4.2,71,47.121899117249754,Italy,Toscana
Jean Stodden,2018,3658715,Spätburgunder J 2018,3.8,61,19.895912960616563,Germany,German Wine
Roucas Toumba,2019,1199527,Les Grands Chemins 2019,3.7,26,14.660146392033258,France,Vin de France
Tramin,2018,93036,Cabernet Sauvignon 2018,3.7,27,12.146978439113271,Italy,Südtirol - Alto Adige
Cantina Rosa del Golfo,2019,2383028,Rosato 2019,3.4,64,9.947956480308282,Italy,Salento
Tasca d'Almerita,2018,1489864,Tenuta Regaleali Chardonnay Vigna San Francesco 2018,4.3,219,30.26273076641151,Italy,Contea di Sclafani
Ventolaio,2012,2640729,Brunello di Montalcino Riserva 2012,4.1,34,64.87114778474717,Italy,Brunello di Montalcino
Roagna,2018,78372,Langhe Bianco 2018,3.9,86,27.225986156633194,Italy,Langhe
Cerreto Piano,2019,1440316,Morellino di Scansano 2019,3.8,82,10.94275212833911,Italy,Morellino di Scansano
Château Lafleur-Gazin,2008,1099316,Pomerol 2008,3.9,308,60.19037247243369,France,Pomerol
Contini,2020,1283156,Pariglia Vermentino di Sardegna 2020,3.7,176,8.157324313852792,Italy,Vermentino di Sardegna
El Escocés Volante,2015,3755911,The Cup & Rings Godello 2015,3.7,177,10.646058689452722,Spain,Monterrei
Tiefenbrunner,2018,15896,Turmhof Gewürztraminer 2018,4.3,97,20.943066274333226,Italy,Südtirol - Alto Adige
Vie di Romans,2016,1084883,Maurus 2016,4.1,69,21.990219588049886,Italy,Friuli Isonzo
Giodo,2011,2319651,Toscana Rosso 2011,4.2,63,57.59343225441637,Italy,Toscana
Coppo,2004,97212,Pomorosso Barbera d'Asti 2004,4.1,97,62.82919882299967,Italy,Barbera d'Asti
Damilano,2019,84770,Barbera D'Alba Lablù 2019,3.9,55,16.75445301946658,Italy,Barbera d'Alba
Tenuta Podernovo,2016,89748,Teuto Toscana 2016,3.9,130,15.707299705749918,Italy,Toscana
De Sousa,2008,1755939,Cuvée des Caudalies Brut Millesimé Champagne Grand Cru 'Avize' 2008,4.2,71,176.96891001811576,France,Champagne Grand Cru 'Avize'
Château La Tour Carnet,1996,12687,Haut-Médoc (Grand Cru Classé) 1996,4.2,151,57.01749793187221,France,Haut-Médoc
Clos des Menuts,2000,1145410,Saint-Émilion Grand Cru 2000,4.1,101,76.0233305758296,France,Saint-Émilion Grand Cru
Tinel-Blondelet,2019,1170990,L'Arret Buffatte Pouilly-Fumé 2019,4.0,79,17.696891001811576,France,Pouilly-Fumé
Umani Ronchi,2020,1207294,Montipagano Montepulciano d'Abruzzo 2020,3.6,61,8.796087835219955,Italy,Montepulciano d'Abruzzo
Domäne Wachau,2018,37334,Grüner Veltliner Smaragd Ried Achleiten 2018,4.2,237,41.13218216279046,Austria,Wachau
Ricchi,2020,2123471,Lugana Blanc 2020,4.1,45,11.780474779312438,Italy,Lugana
Château Canon-La-Gaffelière,1970,1389505,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1970,4.4,55,79.19620511639108,France,Saint-Émilion Grand Cru
Jean-Jacques Confuron,2011,53274,Romanèe Saint-Vivant Grand Cru 2011,4.4,55,563.8397017707363,France,Romanée-Saint-Vivant Grand Cru
Château Grand-Puy Ducasse,1990,1126809,Pauillac (Grand Cru Classé) 1990,4.2,164,82.3586081238154,France,Pauillac
Umani Ronchi,2017,5418708,Centovie Pecorino 2017,3.9,77,17.016241347895747,Italy,Colli Aprutini
Château Carbonnieux,1979,1645929,Pessac-Léognan 1979,3.8,27,50.6822203838864,France,Pessac-Léognan
Librandi,2017,1653855,Magno Megonio Rosso 2017,3.9,127,12.513482098914102,Italy,Val di Neto
Château de Camensac,1990,63094,Haut-Médoc (Grand Cru Classé) 1990,4.2,157,60.19037247243369,France,Haut-Médoc
Conceito,2016,1175183,Branco 2016,4.1,125,29.21557745269485,Portugal,Douro
Quintodecimo,2018,1611385,Via del Campo Falanghina 2018,4.2,280,38.74467260751646,Italy,Irpinia
Frescobaldi,2016,2574273,Gorgona 2016,4.3,33,193.72336303758235,Italy,Toscana
Librandi,2017,1199664,Cirò Classico Rosso (Segno) 2017,3.4,464,5.602270228384138,Italy,Cirò
La Ferme du Mont,2015,1442442,Côtes Capelan Châteauneuf-du-Pape 2015,4.2,89,61.6075199569969,France,Châteauneuf-du-Pape
Roucas Toumba,2019,1199527,Les Grands Chemins 2019,3.7,26,14.660146392033258,France,Vin de France
Donnafugata,2018,5652966,Bell'Assai 2018,3.8,790,18.011036995926574,Italy,Sicilia
Audarya,2021,3234109,Vermentino di Sardegna 2021,3.8,48,9.256835293255286,Italy,Vermentino di Sardegna
Réva,2016,8117065,Cannubi Barolo 2016,4.5,27,157.07299705749918,Italy,Barolo
Château Cos Labory,1996,1100250,Saint-Estèphe (Grand Cru Classé) 1996,4.0,114,53.85509492444789,France,Saint-Estèphe
Cantina Rosa del Golfo,2019,2383028,Rosato 2019,3.4,64,9.947956480308282,Italy,Salento
Tramin,2018,93036,Cabernet Sauvignon 2018,3.7,27,12.146978439113271,Italy,Südtirol - Alto Adige
Patrick Jasmin,2019,5919027,La Giroflarie Côte-Rôtie 2019,4.2,29,103.66817805794946,France,Côte-Rôtie
Montalbera,2015,3852346,Nuda 2015,4.0,245,20.943066274333226,Italy,Barbera d'Asti
Domaine de Cristia,2016,1178596,Châteauneuf-du-Pape Renaissance 2016,4.3,81,50.26335905839974,France,Châteauneuf-du-Pape
Terenzuola,2021,1561415,Fosso di Corsano Colli di Luni Vermentino Superiore 2021,4.1,38,16.75445301946658,Italy,Colli di Luni
Château Batailley,1976,96193,Pauillac (Grand Cru Classé) 1976,3.8,42,82.3586081238154,France,Pauillac
Château Clarke,1988,1148646,Listrac-Médoc 1988,4.1,63,53.85509492444789,France,Listrac-Médoc
Buccia Nera,2019,3984086,Tenuta di Campriano Chianti 2019,3.8,114,5.570855628972638,Italy,Chianti
Ventolaio,2015,1235149,Brunello di Montalcino 2015,4.3,110,36.78649591086631,Italy,Brunello di Montalcino
Bruna Grimaldi,2011,1211388,Camilla Barolo 2011,3.9,226,38.0116652879148,Italy,Barolo
Casa Castillo,2018,5961896,Vino de Finca 2018,3.7,439,13.50827774694493,Spain,Jumilla
Saint-Damien,2019,1105551,La Louisiane Gigondas Vieilles Vignes 2019,4.0,48,25.026964197828203,France,Gigondas
Bertani,2007,1835,Amarone della Valpolicella Classico 2007,4.4,2493,119.77339602291171,Italy,Amarone della Valpolicella Classico
Château Dauzac,1988,73555,Margaux (Grand Cru Classé) 1988,4.2,134,63.352775479858,France,Margaux
Kössler,2020,1225921,Blauburgunder (Pinot Noir) 2020,3.7,122,13.717708409688262,Italy,Südtirol - Alto Adige
Dr. Loosen,2013,1193567,Dr. L Riesling Dry 2013,3.8,438,24.08452621548321,Germany,Mosel
Sebastien David,2016,2039135,Vin d'une Oreille 2016,4.2,33,36.650365980083144,France,Saint-Nicolas-de-Bourgueil
Château Haut-Beauséjour,1996,1105338,Saint-Estèphe 1996,4.0,43,38.0116652879148,France,Saint-Estèphe
Tua Rita,2013,75819,Perlato del Bosco 2013,3.9,418,26.074117511544866,Italy,Toscana
Château Siran,2004,778823,Margaux 2004,3.9,190,38.0116652879148,France,Margaux
Francis Ford Coppola Winery,2014,6274,Director's Cut Zinfandel 2014,4.0,1683,27.749562813491522,United States,Dry Creek Valley
Le Monde,2015,2521315,Pinot Bianco 2015,3.6,136,8.90080316659162,Italy,Friuli Grave
Castellare,2016,1461240,Coniale Toscana 2016,4.2,31,61.782045509283016,Italy,Toscana
Château Valandraud,2010,1191335,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,4.5,125,266.0816570154036,France,Saint-Émilion Grand Cru
Kante,2018,1249797,Malvasia 2018,3.8,68,21.88550425667822,Italy,Carso
Château Brane-Cantenac,1971,23769,Margaux (Grand Cru Classé) 1971,4.3,58,88.69388567180121,France,Margaux
Château Brane-Cantenac,1978,23769,Margaux (Grand Cru Classé) 1978,4.1,164,88.69388567180121,France,Margaux
Château Brane-Cantenac,1990,23769,Margaux (Grand Cru Classé) 1990,4.3,163,164.7172162476308,France,Margaux
Schneider,2015,2848389,Bubbly Brut 2015,3.6,80,32.357037393844834,Germany,Pfalz
Mullineux,2019,1924440,Kloof Street Old Vine Chenin Blanc 2019,3.8,813,19.676010764736066,South Africa,Swartland
Fattoria Aldobrandesca,2020,4126422,Aleatico Toscana Rosato 2020,4.2,109,29.843869440924845,Italy,Toscana
La Palazzetta,2017,1234527,Brunello di Montalcino 2017,4.1,105,36.79696744400348,Italy,Brunello di Montalcino
Château Rauzan-Gassies,2007,1101461,Margaux 2007,4.2,205,57.01749793187221,France,Margaux
Michel Gros,2017,1902199,Clos de Vougeot Grand Cru Grand Maupertuis 2017,4.4,27,183.7230488915882,France,Clos Vougeot Grand Cru
Château Croque Michotte,1997,80191,Saint-Émilion Grand Cru 1997,3.5,54,88.69388567180121,France,Saint-Émilion Grand Cru
Donnafugata,2020,1162845,Sicilia Damarino 2020,3.9,472,11.204540456768276,Italy,Sicilia
Château Montus,1989,86847,Madiran 1989,3.9,29,82.3586081238154,France,Madiran
Contini,2020,1180767,Tonaghe Cannonau di Sardegna 2020,3.5,102,7.403373927976795,Italy,Cannonau di Sardegna
Kante,2016,1480557,Terrano 2016,3.5,26,18.744044315528235,Italy,Carso
Château La Fleur-Pétrus,1993,1098981,Pomerol 1993,4.3,60,202.7288815355456,France,Pomerol
Emidio Pepe,1977,13969,Montepulciano d'Abruzzo 1977,4.5,30,886.9388567180121,Italy,Montepulciano d'Abruzzo
Château Potensac,1993,53034,Médoc 1993,3.6,52,34.849262280490485,France,Médoc
La Valentina,2017,23382,Spelt Montepulciano d'Abruzzo (Riserva) 2017,3.9,329,16.75445301946658,Italy,Montepulciano d'Abruzzo
Agriverde,2018,2381102,Riseis Montepulciano d'Abruzzo 2018,3.8,111,10.785679131281611,Italy,Montepulciano d'Abruzzo
Umani Ronchi,2019,3502,San Lorenzo Rosso Conero 2019,3.8,85,10.890394462653276,Italy,Rosso Conero
